Errors,Attemps,Accuracy,Elapsed Time,Type,Age,English Proficiency,Coding Proficiency,Dyslexia,Input Device,Participant,Kebab Time,Camel Time
,1,100.00%,2844.5,kebab,22,advanced,intermediate,no,touchpad,11,,
,1,100.00%,2873.1,kebab,22,advanced,intermediate,no,touchpad,11,,
,1,100.00%,3063,kebab,22,advanced,intermediate,no,touchpad,11,,
,1,100.00%,3150.4,kebab,22,advanced,intermediate,no,touchpad,11,,
1,2,50.00%,4988.2,kebab,22,advanced,intermediate,no,touchpad,11,,
1,2,50.00%,7920.5,kebab,22,advanced,intermediate,no,touchpad,11,,
,1,100.00%,1953.9,camel,22,advanced,intermediate,no,touchpad,11,,
,1,100.00%,2939.3,camel,22,advanced,intermediate,no,touchpad,11,,
,1,100.00%,3113.8,camel,22,advanced,intermediate,no,touchpad,11,,
,1,100.00%,3566.6,camel,22,advanced,intermediate,no,touchpad,11,,
,1,100.00%,4339.4,camel,22,advanced,intermediate,no,touchpad,11,,
,1,100.00%,4659.9,camel,22,advanced,intermediate,no,touchpad,11,,
,1,100.00%,5280.2,camel,22,advanced,intermediate,no,touchpad,11,,
,1,100.00%,5564.9,camel,22,advanced,intermediate,no,touchpad,11,,
,1,100.00%,8503.7,camel,22,advanced,intermediate,no,touchpad,11,,
2,3,33.33%,17241.7,camel,22,advanced,intermediate,no,touchpad,11,,
,1,100.00%,1624,kebab,23,native,intermediate,no,touchpad,12,,
,1,100.00%,1832,kebab,23,native,intermediate,no,touchpad,12,,
,1,100.00%,2381,kebab,23,native,intermediate,no,touchpad,12,,
,1,100.00%,2721,kebab,23,native,intermediate,no,touchpad,12,,
,1,100.00%,2802,kebab,23,native,intermediate,no,touchpad,12,,
,1,100.00%,3047,kebab,23,native,intermediate,no,touchpad,12,,
,1,100.00%,3191,kebab,23,native,intermediate,no,touchpad,12,,
,1,100.00%,3357,kebab,23,native,intermediate,no,touchpad,12,,
,1,100.00%,3622,kebab,23,native,intermediate,no,touchpad,12,,
,1,100.00%,4712,kebab,23,native,intermediate,no,touchpad,12,,
,1,100.00%,2316,camel,23,native,intermediate,no,touchpad,12,,
,1,100.00%,2741,camel,23,native,intermediate,no,touchpad,12,,
,1,100.00%,2880,camel,23,native,intermediate,no,touchpad,12,,
,1,100.00%,2935,camel,23,native,intermediate,no,touchpad,12,,
,1,100.00%,3494,camel,23,native,intermediate,no,touchpad,12,,
,1,100.00%,3955,camel,23,native,intermediate,no,touchpad,12,,
,1,100.00%,3978,camel,23,native,intermediate,no,touchpad,12,,
,1,100.00%,4952,camel,23,native,intermediate,no,touchpad,12,,
,1,100.00%,5833,camel,23,native,intermediate,no,touchpad,12,,
,1,100.00%,7161,camel,23,native,intermediate,no,touchpad,12,,
,1,100.00%,2682,kebab,21,advanced,advanced,yes,touchpad,13,,
,1,100.00%,4511,kebab,21,advanced,advanced,yes,touchpad,13,,
,1,100.00%,4964,kebab,21,advanced,advanced,yes,touchpad,13,,
,1,100.00%,5514,kebab,21,advanced,advanced,yes,touchpad,13,,
,1,100.00%,6154,kebab,21,advanced,advanced,yes,touchpad,13,,
,1,100.00%,6422,kebab,21,advanced,advanced,yes,touchpad,13,,
,1,100.00%,6429,kebab,21,advanced,advanced,yes,touchpad,13,,
1,2,50.00%,8401,kebab,21,advanced,advanced,yes,touchpad,13,,
,1,100.00%,9208,kebab,21,advanced,advanced,yes,touchpad,13,,
,1,100.00%,11440,kebab,21,advanced,advanced,yes,touchpad,13,,
,1,100.00%,4419,camel,21,advanced,advanced,yes,touchpad,13,,
,1,100.00%,4736,camel,21,advanced,advanced,yes,touchpad,13,,
,1,100.00%,5094,camel,21,advanced,advanced,yes,touchpad,13,,
,1,100.00%,5355,camel,21,advanced,advanced,yes,touchpad,13,,
1,2,50.00%,6905,camel,21,advanced,advanced,yes,touchpad,13,,
,1,100.00%,8307,camel,21,advanced,advanced,yes,touchpad,13,,
,1,100.00%,8941,camel,21,advanced,advanced,yes,touchpad,13,,
1,2,50.00%,13676,camel,21,advanced,advanced,yes,touchpad,13,,
,1,100.00%,16487,camel,21,advanced,advanced,yes,touchpad,13,,
,1,100.00%,18272,camel,21,advanced,advanced,yes,touchpad,13,,
